NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
3,3,0.72148,7.5
3,3,0.40756,7.5
3,3,0.47106,30
-3,3,0.4262,60
5,3,0.46046,0.0001
-3,1,0.27852,0.0001
1,3,0.39355,0.0002
3,3,0.4347,15
1,3,0.46282,30
5,3,0.65417,60
5,3,1.066,0.0002
-5,1,0.49504,7.5
5,3,1.1368,0.0001
-1,1,0.82411,0.0001
3,3,0.37586,7.5
-1,1,0.49794,30
-5,1,0.29342,0.0001
3,3,0.34912,60
5,3,0.33435,60
-3,1,0.36073,7.5
1,3,0.28092,60
5,3,0.30342,15
3,3,0.30464,30
3,3,0.22505,120
5,3,0.3646,120
-1,3,0.31715,30
-5,3,0.60579,120
5,3,0.68765,60
-3,1,0.2274,7.5
-5,1,0.46403,0.0001
1,3,0.46969,120
-1,3,0.41235,120
-1,1,0.44648,0.0001
-1,3,0.55559,30
5,3,0.57152,60
5,3,0.31164,7.5
5,3,0.42845,0.0001
-5,1,0.4914,15
1,3,0.39588,0.0002
-1,3,0.57615,30
-5,3,0.85369,30
-1,3,0.5079,60
-5,3,0.46496,0.0002
1,3,1.2666,30
-5,1,0.54058,7.5
1,3,0.7405,0.0001
3,3,0.34258,0.0002
3,3,0.27505,0.0002
-5,3,0.32297,0.0002
-3,3,0.35698,120
-1,3,0.31206,120
-1,1,0.34963,0.0001
-5,1,0.44571,0.0001
-5,1,0.67979,0.0001
-3,3,0.98589,0.0002
5,3,0.44146,0.0002
-3,3,0.43436,120
-1,3,0.80705,120
1,3,0.77344,30
5,3,0.5468,7.5
5,3,0.44805,0.0001
-5,3,0.42252,30
-1,3,0.46474,60
-5,1,0.30427,7.5
3,3,0.33853,60
1,3,0.46596,30
-1,1,0.4905,7.5
1,3,0.55075,30
-3,1,0.35691,0.0001
5,3,0.55879,0.0002
1,3,0.56385,15
3,3,0.35489,15
5,3,0.4869,0.0001
-1,3,0.4714,60
1,3,0.6246,15
-5,3,1.2627,120
-5,3,0.30821,0.0002
5,3,1.1022,60
-1,1,1.2708,0.0001
-3,1,0.42696,0.0001
-5,3,0.32706,120
3,3,0.37814,30
-3,3,0.31853,60
3,3,0.36446,0.0002
5,3,0.59768,120
1,3,0.56562,0.0002
-3,3,0.32728,30
5,3,0.28867,0.0002
3,3,0.34076,120
1,1,0.48565,15
5,3,0.65124,15
1,3,0.38265,0.0001
1,3,0.40134,30
-5,3,0.30886,30
-3,1,0.34032,7.5
5,3,0.77203,0.0001
3,3,0.39577,0.0002
3,3,0.7356,60
5,3,0.38815,60
-1,3,0.29008,60
5,3,0.23722,7.5
5,3,0.45862,120
3,3,0.34191,0.0002
5,3,0.3439,30
1,3,0.30133,0.0001
-3,1,0.27087,15
5,3,0.4423,30
1,3,0.31972,0.0001
3,3,0.43446,7.5
-3,3,0.71936,120
-1,3,0.35673,30
5,3,0.32118,7.5
1,3,0.28923,120
5,3,0.53871,0.0002
3,3,0.48512,0.0001
3,3,0.42269,7.5
5,3,0.48065,7.5
5,3,0.50374,60
5,3,0.54786,15
5,1,1.5103,0.0002
1,3,0.51983,15
-5,1,0.45015,7.5
-5,1,1.4526,0.0002
-5,1,2.9142,0.0002
-1,1,0.82636,7.5
-5,1,0.43056,0.0001
1,1,0.62867,15
-1,1,0.48864,0.0002
1,1,0.66975,0.0002
-1,1,0.9291,60
5,3,0.52208,7.5
1,1,0.71536,60
-1,1,1.4628,0.0002
-1,3,1.2109,30
-3,3,0.96839,120
-1,3,0.70492,0.0001
1,3,0.50587,60
-3,3,0.4657,0.0002
-3,1,0.65946,15
5,3,0.52786,15
-3,1,0.44527,120
3,1,0.30637,60
-3,1,0.37335,0.0002
-5,1,0.3436,0.0001
3,3,0.39158,60
5,3,0.27037,0.0002
5,3,0.26617,30
-3,1,0.2268,7.5
3,3,0.41339,0.0001
-3,1,0.28486,15
-5,3,0.37639,120
-1,1,0.30446,15
5,3,0.29963,7.5
-5,1,0.65599,7.5
1,1,0.86584,15
1,3,0.64849,120
5,3,0.57285,7.5
5,3,0.34672,7.5
1,3,0.44355,0.0002
-5,3,0.30462,0.0002
-3,1,0.36755,7.5
-3,1,0.43209,7.5
-1,3,0.38492,0.0002
-3,1,0.22718,15
-3,1,0.30003,15
1,1,0.42421,15
-3,1,0.25286,15
-5,1,0.28893,0.0001
1,3,0.32313,0.0001
3,1,0.231,60
1,3,0.42813,30
1,1,61.4419,30
3,3,0.46576,7.5
5,3,0.36353,15
-3,3,0.25287,120
-3,1,0.34222,0.0001
-5,3,0.40593,0.0002
1,3,0.46519,60
-3,3,0.34629,60
3,3,0.46555,0.0002
3,3,0.69674,30
1,3,0.49829,15
3,3,0.39468,0.0002
3,3,0.26123,120
1,3,5.4076,120
3,3,0.31672,0.0001
3,3,0.25578,15
5,3,0.24385,30
-5,1,0.22742,7.5
-1,3,0.28668,120
1,3,0.33092,120
3,3,0.39969,120
1,3,0.51539,15
5,3,0.44676,0.0002
5,3,0.35195,0.0001
5,3,0.33899,0.0001
-5,1,0.28749,7.5
-5,3,0.50363,30
1,3,0.36941,120
-3,3,0.43188,30
1,3,0.85563,7.5
-3,1,0.49066,7.5
1,3,0.27803,0.0001
-5,1,0.8867,30
3,3,0.4531,30
-1,1,0.43846,120
1,3,0.5904,120
-1,1,0.49014,120
-3,1,0.8304,15
-5,1,0.34796,15
-1,1,0.38593,0.0001
-3,1,0.29724,0.0001
-1,3,0.46428,0.0002
5,3,0.39977,120
-1,1,0.41512,7.5
-5,3,0.64596,0.0002
-5,1,0.36175,15
3,3,0.32667,0.0001
-5,1,0.23489,0.0001
-1,1,0.34232,0.0001
1,1,0.69002,30
1,3,0.32394,7.5
3,3,0.22687,0.0001
1,3,0.35487,0.0001
3,3,0.36292,60
1,3,0.29282,60
5,3,0.44732,30
3,3,0.39808,0.0002
5,3,0.3431,15
3,3,0.31186,0.0002
1,3,0.48823,0.0002
-5,1,0.48122,15
3,3,0.3497,60
-3,3,0.39418,0.0002
-3,3,0.99472,30
5,3,0.68993,30
-5,3,0.53425,120
-3,3,0.43559,0.0002
-3,3,0.29499,0.0002
3,3,0.2531,7.5
3,3,0.23791,7.5
1,3,0.30645,0.0002
-1,3,0.28596,60
5,3,0.33916,0.0002
5,3,0.33091,120
3,3,0.34961,120
-5,1,0.38185,7.5
-1,1,0.49981,15
3,3,0.41483,0.0001
1,3,0.33141,7.5
3,3,0.41159,0.0002
-1,3,0.29968,120
-5,3,0.30345,120
-3,3,0.39282,60
-5,1,0.31151,0.0001
1,3,0.51607,30
3,3,0.46105,120
-3,1,0.60812,0.0001
-1,1,0.34904,0.0001
-3,1,0.9744,15
1,3,0.90649,120
-3,1,0.48879,30
-1,1,0.27409,15
-3,1,0.27838,7.5
3,3,0.51097,0.0002
-3,1,0.25971,0.0001
-1,1,0.40749,60
