NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
-1,1,0.69791,30
-1,1,0.36093,120
1,1,0.44208,60
1,3,0.67651,0.0001
3,3,0.54079,60
1,3,0.89632,60
-5,1,1.4221,15
1,3,0.57862,120
-3,3,0.94234,15
-5,1,1.3674,0.0002
3,3,1.2429,30
3,3,1.1919,15
5,3,1.1322,0.0002
-5,1,0.55282,60
5,3,1.0205,0.0002
-1,3,0.68011,15
-3,1,0.96409,7.5
-3,3,0.58869,120
1,3,0.67708,0.0001
5,3,0.66397,0.0002
1,3,0.59207,120
-1,1,0.63756,15
-1,3,0.62348,0.0002
-1,1,0.30635,0.0001
-3,1,0.31316,15
-3,1,0.32049,120
3,1,0.98583,120
1,1,0.41679,60
-3,1,0.37042,15
-3,1,0.32558,7.5
5,1,0.49581,15
5,3,0.32956,7.5
-1,1,0.33811,60
3,1,2.7766,7.5
-5,1,0.58855,15
3,1,0.50487,60
-3,1,0.27682,7.5
5,1,0.39347,7.5
-3,1,0.29354,7.5
-5,1,0.45078,0.0002
1,1,0.46021,0.0002
-1,3,0.87949,30
-3,3,0.70616,60
3,1,0.40154,0.0002
-3,3,0.30016,7.5
-3,1,0.36369,15
-1,3,0.8731,120
1,3,0.70626,120
-1,3,0.47864,0.0001
1,3,0.53984,0.0002
5,1,0.76552,60
5,3,0.68685,30
-5,1,0.40785,0.0001
1,3,0.46556,120
-1,1,0.2757,0.0001
-1,1,0.55798,30
-5,1,0.43818,7.5
-3,1,0.75208,60
-5,1,0.50094,15
3,1,0.90848,30
3,1,0.44351,15
5,1,0.38064,15
3,1,0.32851,60
-3,1,0.368,30
5,1,0.58511,30
5,3,1.0784,7.5
1,1,0.34413,15
-1,1,0.52935,15
-3,1,0.30981,0.0001
-5,1,0.33519,7.5
1,1,0.40384,30
3,1,0.22276,60
-3,1,0.37116,120
1,1,0.22469,30
1,1,0.22187,0.0001
3,1,0.41809,0.0002
1,1,0.44549,120
3,3,0.60318,0.0002
-3,1,0.40952,120
3,1,0.21562,7.5
3,3,0.43778,60
5,1,0.98462,120
5,1,0.46296,0.0002
3,3,1.4802,15
-3,1,0.6562,120
-3,1,0.30431,0.0001
-3,3,0.59814,120
1,1,0.51703,15
-1,1,0.55504,30
1,1,0.71902,0.0002
-3,1,0.53794,0.0002
-3,1,0.84845,120
5,3,0.28619,0.0001
5,3,0.33743,7.5
-1,1,0.84055,0.0002
-3,3,0.52684,60
5,3,0.39235,15
-1,3,1.4709,0.0002
1,3,0.49971,30
-5,3,0.62325,0.0002
1,3,1.3821,0.0002
3,3,0.44324,0.0001
-5,1,0.62353,30
5,3,0.27911,0.0001
3,3,0.40406,30
3,3,0.58167,30
3,3,0.25528,7.5
-3,3,0.55025,120
3,3,0.29484,7.5
3,3,0.5843,0.0002
5,3,0.70317,60
1,3,0.64298,0.0002
3,3,0.47828,60
1,3,0.36627,0.0001
5,3,0.42763,0.0002
5,3,0.42156,30
-5,1,0.67802,7.5
-5,1,0.72237,0.0002
3,3,0.49963,15
1,3,0.39829,60
5,3,0.46354,0.0002
-5,1,0.84067,30
-5,1,0.30776,0.0001
3,1,0.56742,30
1,1,0.30139,120
-3,1,0.38494,120
5,1,0.53446,60
